,I.1,I.2,II,III,IV.1,IV.2
0,2.220446049250313e-16,2.469408640851332,0.8155135551297564,0.004356096882447899,2.220446049250313e-16,0.036366298702057535
1,2.220446049250313e-16,2.5123795985406523,0.6732757620116526,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
2,2.220446049250313e-16,1.975691793752569,1.1103733881446956,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
3,2.220446049250313e-16,2.0352651941187925,1.1033301189542914,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
4,1.1273803734819077e-08,1.8319328941001165,1.2474040116846585,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
5,2.220446049250313e-16,1.699310650277859,1.3469412547586408,2.220446049250313e-16,2.220446049250313e-16,0.024183893406410292
6,1.2260583557907622e-05,1.785321180814617,1.3218841992844206,0.019948131096150828,2.220446049250313e-16,2.220446049250313e-16
7,0.10317809287288263,1.6152838828178493,1.3028896368932692,0.0032222135740005136,1.0297054085503247e-13,2.220446049250313e-16
8,0.09274089956253187,1.4556701848639386,1.4510145724057166,0.08106051458955899,2.220446049250313e-16,2.220446049250313e-16
9,0.452059142609599,0.88755003059158,1.299401777568075,0.22645510023447762,2.220446049250313e-16,2.220446049250313e-16
10,0.7106730894767352,0.6217563646429651,1.0956690619523082,0.3644008573244467,2.220446049250313e-16,2.220446049250313e-16
11,0.7456944551996898,0.6640859044324794,1.1096143251790536,0.35308509236649954,2.220446049250313e-16,2.220446049250313e-16
12,0.8382015165520371,0.6792289391643879,0.9853504247638275,0.40148598048476075,2.220446049250313e-16,0.004379581962857368
13,1.1004659666710592,0.6437148320008321,0.8325395292297011,0.3387402540305905,2.220446049250313e-16,0.00015973185488265125
14,1.2721149491325157,0.6410273539971313,0.6162790213051766,0.384105376122589,2.220446049250313e-16,2.220446049250313e-16
15,0.6705693979423193,1.2545877019953013,0.7199801307833527,0.34178635675410696,2.220446049250313e-16,2.220446049250313e-16
16,0.4936487139068149,1.5308818482415276,0.7246700574585242,0.3238593350491298,2.220446049250313e-16,2.220446049250313e-16
