,I.1a,I.1b,I.2,II,III.a,III.b,IV.1a,IV.1b,IV.2
0,5.422110631004193e-15,0.06448054453732567,3.073903589459833,1.1091522263337708,2.220446049250313e-16,0.3295622106607862,2.220446049250313e-16,0.12517601470721618,2.220446049250313e-16
1,2.220446049250313e-16,2.220446049250313e-16,3.21441515402801,1.0025419450367787,2.220446049250313e-16,0.2744493770723472,6.30913881726594e-07,1.2060935452963169e-10,2.220446049250313e-16
2,0.007072962511858196,0.04615964988633184,2.598210926378917,1.5223690248252093,2.220446049250313e-16,0.13715785258804125,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
3,2.220446049250313e-16,0.1602869274207231,2.7206349469181945,1.4876941880394967,2.220446049250313e-16,3.827407410794775e-08,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
4,2.220446049250313e-16,0.4803106636247902,2.341396095981259,1.4853563195117605,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,9.725010923997908e-06,2.220446049250313e-16
5,2.220446049250313e-16,0.36405150103222506,2.1831960503449426,1.6419089548048105,2.220446049250313e-16,2.266876335849083e-16,2.220446049250313e-16,0.09447112103152806,2.220446049250313e-16
6,2.220446049250313e-16,0.49742400719762164,2.3078853585072916,1.5606378124438558,0.011940384292136667,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
7,8.301201498887327e-09,0.5401624439401084,2.0522981605748623,1.6169919225688336,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0381335262207827,2.220446049250313e-16
8,0.022445225689303232,0.49097612122025297,1.8100890030570478,1.8250747486619905,0.10025531040128986,2.220446049250313e-16,2.220446049250313e-16,0.0566333044223837,2.220446049250313e-16
9,0.5388115409344958,0.4959757848072652,1.0975170379956876,1.6224128703804357,0.32468588740451454,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
