,0,1,2,3,4,5,6,7,8
183,142,80,145,138,0,0,0,0,0
184,142,80,145,138,0,0,0,0,0
185,28,99,20,50,31,41,0,0,0
186,20,28,50,141,99,0,0,0,0
187,85,0,0,0,0,0,0,0,0
188,142,85,98,20,0,0,0,0,0
189,7,0,0,0,0,0,0,0,0
190,59,0,0,0,0,0,0,0,0
191,59,0,0,0,0,0,0,0,0
192,28,35,0,0,0,0,0,0,0
193,28,99,0,0,0,0,0,0,0
194,28,99,0,0,0,0,0,0,0
195,59,99,56,20,199,0,0,0,0
196,59,99,56,20,199,0,0,0,0
197,59,99,56,20,199,0,0,0,0
198,28,51,0,0,0,0,0,0,0
199,101,23,11,0,0,0,0,0,0
200,76,21,28,0,0,0,0,0,0
201,143,6,0,0,0,0,0,0,0
202,6,106,0,0,0,0,0,0,0
203,98,7,46,0,0,0,0,0,0
204,20,76,0,0,0,0,0,0,0
205,1,215,144,5,0,0,0,0,0
206,1,215,144,5,0,0,0,0,0
207,1,215,144,5,0,0,0,0,0
208,20,60,28,136,0,0,0,0,0
209,28,99,0,0,0,0,0,0,0
210,20,19,68,0,0,0,0,0,0
