,A,B
0,0.8757300766543035,0.15738292928615516
1,0.8834164386286539,0.09850285039733211
2,0.9335876726758673,0.04506893016998715
3,0.9452893964815529,0.048467568173820655
4,0.9466744524079939,0.03837853137877922
5,0.9568689770356478,0.03137912702429825
6,0.9948051885371991,0.009566163696667558
7,0.9610719308687776,0.020084948037327764
8,0.9616817379570649,0.04951523252641794
9,0.8396630069917972,0.14061765675576993
10,0.7567273887136281,0.22182765088205122
11,0.7930868684006981,0.21204828366992204
12,0.7784451609911772,0.24111781297780063
13,0.8007563345213735,0.23019826002235955
14,0.7650876735388042,0.27027412076714874
15,0.7603514932879403,0.24780070089022974
16,0.7908457095738396,0.22606751474967474
17,0.8113780904800452,0.2045654622129648
18,0.8960195577197468,0.12624265468999843
19,0.7569571680605379,0.2981027071394001
20,0.7930495506217377,0.23902211618543087
21,0.9041243798855019,0.11211342927411902
22,0.8757463612191253,0.17875620474309012
23,0.8609301208577959,0.17993751230041177
24,0.8964353970723619,0.09521700062663807
25,0.9060592549603986,0.05834779212591775
26,0.8649038808053552,0.09862688631785052
27,0.8656945168026208,0.09641147186099419
28,0.9266943928134812,0.06401270024998199
29,0.9684350785198297,0.011793261721854397
30,0.9355448888389978,0.05082508003436094
31,0.9432170250052403,0.044829181376048986
32,0.9600379225352919,0.04854853115995175
33,1.0102926861853485,0.006389965476748229
34,0.9992118008620468,0.004625098740180735
35,0.9465836065403146,0.03843766336951158
36,0.8382975652892197,0.1439881022552777
37,0.7394993064657072,0.2657634310821039
38,0.5979029411502987,0.41798324536101006
39,0.6467392690791931,0.37660030281688894
40,0.7043454081995524,0.27647633768431323
41,0.7377396875388312,0.25304222010477906
42,0.6824392041535247,0.30993189251417047
43,0.6521878427347808,0.37414465894925186
44,0.601770712440296,0.4184940545949753
45,0.6292553331859688,0.40303890593163283
46,0.6664200581784844,0.3708494115770175
47,0.6610770309452438,0.3502098773643058
48,0.8140280639165567,0.2154299064162655
49,0.9402164631058474,0.0740994309886787
50,0.8256756557824736,0.18476798976279868
51,0.8420606993103635,0.14031732928012633
52,0.9058719435494045,0.08630968601167824
53,0.9727916870679367,0.041782778274956946
54,0.8593875633909359,0.2139129255486258
55,0.845897279832337,0.19576846787504343
56,0.9129503614364195,0.09888673047091995
57,0.8312555359932922,0.16547085300313744
58,0.846063435661992,0.15592392766243457
59,0.8677293646306735,0.13683035482728367
60,0.8998086523543728,0.10381508605224918
61,1.0052390334311563,0.04814604788778137
62,0.9767717700601789,0.07534052166229091
63,0.9594581109258914,0.05100706131651647
64,0.9763009073224354,0.025591427324274232
65,0.9599389987551629,0.0259423349920124
66,1.0007305372318582,0.014127253115894222
67,0.986357084344164,0.04409687791400721
68,0.9372483715670759,0.06126648101305776
69,0.8834330562661148,0.10415262367383808
70,0.8673539683799009,0.1507028396394517
71,0.7685197434141633,0.2104841985462529
72,0.697775870882378,0.25227589618158663
73,0.6541096188239615,0.35066457632729797
74,0.688205411434308,0.31191099191292126
75,0.6502495705748258,0.31777511390196156
76,0.6397550033916706,0.34317957514030245
77,0.7006009568494679,0.30323289438043377
78,0.7044351671977359,0.297489207222474
79,0.6732945760492866,0.3329796784511832
80,0.663537517152012,0.3314198514027202
81,0.6937506181451898,0.343106279169881
82,0.5795398393929602,0.46016683013308646
83,0.5547070187793257,0.46174614632621414
84,0.576129826132027,0.4647203978852623
85,0.7438744051399131,0.24889983676637562
86,0.806434583844888,0.1694052757919481
